id,order_id,order_total,restaurant_name,order_time,rain_mode,on_time
1,127143465064,463.0,A2B Veg,2022-02-05 19:07:45,0,1
2,127077028490,252.0,Firangi Bake,2022-02-05 00:40:28,0,1
3,126888939416,190.0,The Table,2022-02-02 20:25:40,0,1
4,125668909627,258.0,Sree gupta bhavan,2022-01-19 17:31:50,0,0
5,125301846779,194.0,Idlies,2022-01-15 11:34:07,0,1
6,124552896092,320.0,Shyam's Bombay Halwa House,2022-01-06 19:31:37,0,0
7,121958902961,304.0,The Bowl Company,2021-12-07 18:58:22,0,1
8,120313745539,169.0,Super Munch,2021-11-18 17:59:06,2,1
9,119284782350,212.0,Mansukh's Sweets and Snacks,2021-11-06 20:09:43,5,1
10,118674754387,336.0,KFC,2021-10-30 18:42:35,0,1
11,118594611361,752.0,The Chopstix- Kk Nagar,2021-10-29 20:26:52,0,0
12,118507574782,661.0,Sabarees Veg Restaurant,2021-10-28 20:16:14,0,1
13,118166623765,212.0,Lassi House,2021-10-24 21:33:43,2,1
14,117182948400,407.0,Subway,2021-10-13 12:19:09,0,0
15,116840199924,1139.0,The Bowl Company,2021-10-09 13:06:40,0,1
16,116754798052,809.0,Faasos,2021-10-08 13:23:19,0,0
17,116690334483,1053.0,McDonald's,2021-10-07 19:28:55,0,1
18,116666857091,894.0,LunchBox,2021-10-07 12:57:38,0,1
19,114172231893,174.0,Drunken Monkey,2021-09-08 16:00:32,0,1
20,111509575197,224.0,Sangeetha's Desi Mane,2021-08-08 20:22:56,0,0
21,111332232888,108.0,Mansukh's Sweets and Snacks,2021-08-06 19:07:13,0,0
22,110902105248,194.0,Sangeetha's Desi Mane,2021-08-01 19:38:26,0,1
23,109947448158,204.0,The Sandwich Shop 2.0,2021-07-21 18:27:29,0,1
24,109519514675,293.0,Faasos,2021-07-16 19:35:14,0,0
25,107186347292,179.0,The Belgian Waffle Co.,2021-06-19 19:29:08,0,0
26,107010105863,133.0,The Thickshake Factory,2021-06-17 18:31:46,0,1
27,104678065783,655.0,Amelie's Cafe & Creamery,2021-05-21 18:44:26,0,0
28,104593523219,194.0,The Table,2021-05-20 19:15:24,0,0
29,103989560561,353.0,The Table,2021-05-13 19:29:21,0,1
30,103899258502,688.0,Kamakshi Mess,2021-05-12 18:24:18,0,0
31,102089628375,368.0,The Bowl Company,2021-04-21 19:43:49,0,0
32,101569710926,271.0,Bakya Veg Restaurant,2021-04-15 19:18:30,0,1
33,96303387993,193.0,The Belgian Waffle Co.,2021-02-13 20:26:28,0,1
34,93259245959,164.0,The Bowl Company,2021-01-09 14:50:46,0,1
35,90174208184,158.0,Roll Over,2020-12-04 21:53:28,0,1
36,88437200793,406.0,Domino's Pizza,2020-11-14 19:23:21,0,1
37,86796819721,190.0,Moonlight Takeaway & Delivery,2020-10-26 19:43:40,0,1
38,86796243798,209.0,Domino's Pizza,2020-10-26 19:34:04,0,0
39,85503629718,344.0,Domino's Pizza,2020-10-11 20:30:30,0,0
40,85413036372,401.0,The Bowl Company,2020-10-10 19:20:36,0,1
41,83594429748,133.0,The Bowl Company,2020-09-19 18:10:30,0,0
42,66209518020,153.0,The Bowl Company,2020-03-02 13:01:59,0,0
43,65256281802,137.0,LunchBox,2020-02-20 12:14:42,0,0
44,65030558417,102.0,Richy Rich Ice Creams,2020-02-17 21:32:39,0,0
45,64919239494,160.0,HOTEL ANANDHA BHAVAN (Imperial Road),2020-02-16 14:37:20,0,0
46,64337605340,374.0,HOTEL ANANDHA BHAVAN (Imperial Road),2020-02-09 21:03:26,0,0
47,63528835993,502.0,The Bowl Company,2020-01-31 12:23:56,0,1
48,61309491436,173.0,VEJ,2020-01-05 19:54:52,0,1
49,60620307292,166.0,Frozen Bottle,2019-12-28 20:28:28,0,1
50,58604508507,240.0,The Bowl Company,2019-12-05 12:31:48,0,0
51,57681625363,192.0,The Table,2019-11-24 20:10:26,0,1
52,56817719676,110.0,Good For One,2019-11-14 20:12:00,0,1
53,55425946120,185.0,The Bowl Company,2019-10-29 17:35:47,0,1
54,54997774768,244.0,The Bowl Company,2019-10-24 18:39:34,0,1
55,52839287946,152.0,KEVENTERS,2019-09-29 19:04:48,0,1
56,52557909787,138.0,The Bowl Company,2019-09-26 12:55:10,0,0
57,52471089408,140.0,The Good Bowl,2019-09-25 12:48:09,0,0
58,50775345135,161.0,Roll Over,2019-09-05 21:45:46,0,1
59,49749872968,555.0,Subway,2019-08-25 00:54:32,0,1
60,49315198865,262.0,Cream and Fudge,2019-08-20 00:09:59,0,1
61,49298321465,307.0,Sangeetha's Desi Mane,2019-08-19 19:28:41,0,1
62,48342768684,328.0,Frozen Bottle,2019-08-08 18:02:48,0,1
63,48093468935,157.0,Food Track,2019-08-05 20:47:49,0,1
64,46946088452,319.0,Mansukh's Sweets and Snacks,2019-07-23 14:04:48,0,1
